flight,truth_dist_km,truth_co2_kg,base_dist_km,base_co2_kg,base_dist_err,base_co2_err,sm_dist_km,sm_co2_kg,sm_dist_err,sm_co2_err,truth_full_dist_km,truth_full_co2_kg,base_full_dist_km,base_full_dist_err,base_full_co2_err,sm_full_dist_km,sm_full_dist_err,sm_full_co2_err
300394_1775143291,67.52943171600418,640.1790126677197,69.09895844259121,655.0581260357648,1.5695267265870285,14.879113368045068,67.449189602231,639.41831742915,-0.08024211377318125,-0.7606952385697241,436.777431675234,4140.650052281218,433.19605009367274,-3.5813815815612884,-33.95149739320102,435.19600647803514,-1.5814251971988824,-14.991910869445405
34644e_1775580530,8.058751315239977,76.39696246847498,8.073322077814105,76.53509329767772,0.014570762574127372,0.138130829202737,8.120426840089578,76.9816464440492,0.06167552484960126,0.5846839755742224,1927.6991333240849,18274.587783912324,1927.1260118581238,-0.5731214659610941,-5.433191497311173,1927.4402896936863,-0.25884363039858727,-2.4538376161786073
392ae2_1775232095,123.67597554441629,1172.4482481610664,122.88018784594942,1164.9041807796007,-0.7957876984668673,-7.544067381465766,123.1318156145819,1167.2896120262365,-0.5441599298343931,-5.158636134829976,481.05722264694606,4560.422470693049,480.6267189642392,-0.43050368270684203,-4.081174912060862,480.6519172256576,-0.40530542128846037,-3.8422953938146045
3c4a0f_1775147070,106.85420481223217,1012.977861619961,106.05744543533481,1005.4245827269741,-0.7967593768973558,-7.553278892986896,107.1488105188274,1015.7707237184839,0.29460570659523455,2.7928620985228463,318.8869156933821,3023.0479607732623,318.7247674441117,-0.16214824927038762,-1.5371654030832747,318.9444855052451,0.05756981186300436,0.5457618164612814
3c6595_1775586516,24.068914374322254,228.17330826857497,24.774273204853916,234.86010998201513,0.7053588305316616,6.686801713440161,24.090107955038313,228.37422341376322,0.02119358071605859,0.20091514518824738,784.3998952431667,7436.111006905221,784.3998063056023,-8.893756444194878e-05,-0.0008431281109096745,784.4000038872438,0.0001086440770450281,0.0010299458503868664
3e4601_1775176469,115.67567240378753,1096.6053743879058,114.59180849484743,1086.3303445311537,-1.0838639089401028,-10.275029856752099,115.54795123392803,1095.3945776976377,-0.12772116985949822,-1.2107966902681255,337.2238483062111,3196.8820819428815,337.19123499181626,-0.032613314394836834,-0.3091742204630532,337.19716640943784,-0.02668189677325472,-0.2529443814104548
400879_1775143182,35.34733909836596,335.09277465250926,35.88913756643198,340.22902412977515,0.5417984680660197,5.136249477265892,35.78549439697865,339.2464868833576,0.438155298612692,4.153712230848328,1225.8145255653262,11620.721702359293,1225.8143497251162,-0.00017584020997674088,-0.0016669651905795036,1225.8159393461815,0.0014137808552732167,0.013402642507990096
405a4a_1775146694,121.79849650533461,1154.6497468705722,113.16908829169682,1072.8429570052858,-8.629408213637788,-81.80678986528642,119.4319238289089,1132.2146378980563,-2.3665726764257187,-22.43510897251599,522.5157830895236,4953.4496236886835,511.86037006475397,-10.655413024769587,-101.01331547481568,520.058696762853,-2.4570863266706056,-23.293178376837343
406531_1775230545,102.60380386656514,972.6840606550376,101.90884888497285,966.0958874295427,-0.6949549815922893,-6.58817322549487,103.01401357773071,976.5728487168872,0.4102097111655638,3.8887880618495956,834.2083077471675,7908.294757443148,833.1705461685094,-1.0377615786580918,-9.83797976567871,833.9286669035092,-0.2796408436582851,-2.650995197880543
4076cc_1775146270,147.61879178160441,1399.42614608961,145.4662492819967,1379.0200431933288,-2.152542499607705,-20.406102896281254,147.07864834342558,1394.3055862956746,-0.5401434381788306,-5.120559793935399,625.6915453186217,5931.555849620534,624.630676785191,-1.060868533430721,-10.057033696923236,624.9959244542242,-0.6956208643974833,-6.594485794488142
408227_1775146658,37.53930495413528,355.8726109652025,39.156380446879524,371.2024866364179,1.6170754927442417,15.329875671215405,36.70668363630492,347.9793608721707,-0.832621317830359,-7.893250093031838,405.30665662847645,3842.307104837957,405.3035835460621,-0.0030730824143461177,-0.0291328212880012,405.31489990672776,0.008243278251313768,0.07814627782245452
4082f2_1775145909,114.83305593321886,1088.6173702469148,113.55225980661689,1076.475422966728,-1.2807961266019703,-12.141947280186741,113.83903535468461,1079.1940551624102,-0.9940205785342471,-9.423315084504566,385.1686309592331,3651.39862149353,384.0729764172185,-1.0956545420145858,-10.386805058298274,384.221932826296,-0.9466981329371151,-8.974698300243851
4400eb_1775145651,137.42552574546366,1302.7939840669956,136.3047871691551,1292.1693823635906,-1.120738576308554,-10.624601703405006,137.53057472134628,1303.7898483583629,0.10504897588262452,0.9958642913672975,600.5388765823589,5693.108550000762,600.3008458918724,-0.23803069048642556,-2.2565309458113143,600.6254541468999,0.08657756454101673,0.8207553118488387
440132_1775580254,93.28027690751772,884.297025083268,92.60136623685976,877.8609519254305,-0.678910670657956,-6.436073157837427,93.25130443586514,884.0223660520015,-0.028972471652579657,-0.2746590312664239,1082.8934725703702,10265.83011996711,1081.1705978020539,-1.7228747683163874,-16.332852803639355,1082.8347067399814,-0.05876583038889294,-0.5571000720867051
440488_1775142894,82.78825043012947,784.8326140776273,82.11718023374854,778.4708686159362,-0.6710701963809242,-6.361745461691157,82.58862654514577,782.940179647982,-0.1996238849836942,-1.892434429645391,766.297247487421,7264.497906180752,765.5241561201708,-0.7730913672502311,-7.328906161532191,766.0291466267848,-0.26810086063619565,-2.5415961588311347
485064_1775143621,46.714657034032996,442.8549486826328,46.737835764232614,443.0746830449252,0.023178730199617803,0.2197343622923995,44.8901199905923,425.55833751081497,-1.8245370434406993,-17.296611171817858,730.7817772211755,6927.811248056744,730.7817737876578,-3.433517690609733e-06,-3.254974770698027e-05,730.7819766245804,0.00019940340484936314,0.0018903442779719627
485a33_1775143757,14.194620057449402,134.56499814462035,14.308932471987541,135.6486798344419,0.1143124145381389,1.0836816898215602,14.307585005021386,135.63590584760274,0.11296494757198339,1.070907702982396,1104.4375938915782,10470.068390092161,1102.0857188812681,-2.3518750103100956,-22.295775097739707,1103.734699152254,-0.7028947393241651,-6.663442128793085
4b1619_1775143154,74.40233606385608,705.3341458853557,75.79041355027641,718.4931204566204,1.388077486420329,13.158974571264707,73.55374313450301,697.2894849150886,-0.8485929293530745,-8.04466097026716,370.15475644177735,3509.0670910680496,370.1547357426426,-2.069913477953378e-05,-0.00019622779770998023,370.15475778178586,1.3400085094872338e-06,1.2703280669938978e-05
4b1a1d_1775581323,123.77169196380494,1173.355639816871,112.86681101944988,1069.9773684643849,-10.904880944355057,-103.37827135248608,117.82185579022784,1116.95119289136,-5.949836173577097,-56.40444692551091,1240.5391064875148,11760.310729501642,1227.8940383535917,-12.645068133923132,-119.8752459095913,1234.4877814234821,-6.051325064032653,-57.36656160702955
502d5a_1775231589,112.1518106809715,1063.1991652556098,111.49886904055808,1057.0092785044906,-0.6529416404134167,-6.189886751119275,112.34618008423205,1065.0417871985198,0.19436940326055208,1.8426219429100001,525.874649199006,4985.291674406577,525.8718900508121,-0.0027591481938316065,-0.02615672487752363,525.8729275104862,-0.0017216885197512966,-0.01632160716724229
